product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0186,P-0186,P-0186.jpg,P-0186_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0187,P-0187,P-0187.jpg,P-0187_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0188,P-0188,P-0188.jpg,P-0188_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0189,P-0189,P-0189.jpg,P-0189_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0190,P-0190,P-0190.jpg,P-0190_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0191,P-0191,P-0191.jpg,P-0191_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0192,P-0192,P-0192.jpg,P-0192_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0193,P-0193,P-0193.jpg,P-0193_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0194,P-0194,P-0194.jpg,P-0194_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0195,P-0195,P-0195.jpg,P-0195_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0196,P-0196,P-0196.jpg,P-0196_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0197,P-0197,P-0197.jpg,P-0197_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0198,P-0198,P-0198.jpg,P-0198_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0199,P-0199,P-0199.jpg,P-0199_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0200,P-0200,P-0200.jpg,P-0200_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0201,P-0201,P-0201.jpg,P-0201_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0202,P-0202,P-0202.jpg,P-0202_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0203,P-0203,P-0203.jpg,P-0203_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0204,P-0204,P-0204.jpg,P-0204_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0205,P-0205,P-0205.jpg,P-0205_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0206,P-0206,P-0206.jpg,P-0206_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0207,P-0207,P-0207.jpg,P-0207_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0208,P-0208,P-0208.jpg,P-0208_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0209,P-0209,P-0209.jpg,P-0209_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0210,P-0210,P-0210.jpg,P-0210_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0211,P-0211,P-0211.jpg,P-0211_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0212,P-0212,P-0212.jpg,P-0212_1.jpg,6608,,,READY_FOR_UPLOAD,
