PID,Product Code,Product Name,HSN Code,Part / Group,Barcode,Purchase Price,Retail Price,Discount,CGST,SGST,CESS,Qty. Available,Main Unit,Wholesale Price,MRP,Category,Sub Category / Brand,Last Sold Price,Good Product Qty,Damage Product Qty,Description,Minimum Stock,Sale Tax Type,Purchase Tax Type,Godown,Rack,Batch,Mfg Date,Exp Date,Size,Colour,Def Qty,IMEI-1,IMEI-2,Exact Purchase Price
2964,P-2964,V Mark shirts 1283,,,5589,283.00,500.70,20.00,0.00,0.00,0.00,8.000,NOS,299.00,849.00,Mens wear,Shirt,500.70,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,283.00
2965,P-2965,V Mark shirts 1305,,,5580,305.00,525.00,20.00,0.00,0.00,0.00,2.000,NOS,399.00,915.00,Mens wear,Shirt,525.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,305.00
3474,P-3474,V mark shirts 1360,,,6155,360.00,625.00,20.00,0.00,0.00,0.00,4.000,NOS,399.00,1080.00,Mens wear,Shirt,625.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,360.00
2968,P-2968,V Mark shirts 1382,,,5585,382.00,650.00,20.00,0.00,0.00,0.00,12.000,NOS,399.00,1146.00,Mens wear,Shirt,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,382.00
2969,P-2969,V Mark shirts 1395,,,5586,395.00,688.00,20.00,0.00,0.00,0.00,2.000,NOS,399.00,1185.00,Mens wear,Shirt,688.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,395.00
2970,P-2970,V Mark shirts 1405,,,5587,405.00,688.00,20.00,0.00,0.00,0.00,3.000,NOS,499.00,1215.00,Mens wear,Shirt,688.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,405.00
3475,P-3475,V mark shirts 1418,,,6156,418.00,725.00,20.00,0.00,0.00,0.00,7.000,NOS,499.00,1254.00,Mens wear,Shirt,725.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,418.00
3408,P-3408,V R D 1305,,,6089,305.00,525.00,20.00,0.00,0.00,0.00,5.000,NOS,369.00,915.00,Kids wear(Boys),H/s set,525.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,305.00
3407,P-3407,V R D 1330,,,6088,330.00,575.00,20.00,0.00,0.00,0.00,3.000,NOS,369.00,990.00,Kids wear(Boys),H/s set,575.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,330.00
1654,P-1654,V.R.D 1155,,,4210,155.00,300.00,20.00,0.00,0.00,0.00,2.000,NOS,199.00,465.00,Kids wear(Girls),F/s set,300.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,155.00
1655,P-1655,V.R.D 1165,,,4211,165.00,300.00,20.00,0.00,0.00,0.00,2.000,NOS,199.00,495.00,Kids wear(Girls),F/s set,300.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,165.00
1666,P-1666,V.R.D 1175,,,4222,175.00,315.00,20.00,0.00,0.00,0.00,3.000,NOS,199.00,525.00,Kids wear(Boys),F/s set,315.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,175.00
1795,P-1795,V.R.D 1240,,,4352,240.00,450.00,20.00,0.00,0.00,0.00,2.000,NOS,299.00,720.00,Female wear,Cardigan,450.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,240.00
123,P-0123,V.R.D 1534 1100,,,1264,100.00,188.00,20.00,0.00,0.00,0.00,1.000,NOS,99.00,300.00,Kids wear(Boys),H/s set,188.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,100.00
